id,subs,views,videos,cluster
UCET00YnetHT7tOpu12v8jxg,2630000,3118281136,11387,0
UCNAf1k0yIjyGu3k9BwAg3lg,5710000,4998280460,13962,0
UCmAPdImtXLGh5E-lTTH4Qmg,14700000,15371691846,29013,0
UCqfCJBfrFSO4tZM1LNZTBFQ,4830000,474587989,24456,0
UCcw05gGzjLIs5dnxGkQHMvw,1730000,1017525001,14525,0
UCVgO39Bk5sMo66-6o6Spn6Q,2460000,1375550912,104904,0
UC_ifDTtFAcsj-wJ5JfM27CQ,523000,192395519,30026,0
UCqZQlzSHbVJrwrn5XvzrzcA,5090000,4923387831,42498,0
UCG1QXvv8CME3I6yts0IevTA,450000,354122555,11655,0
UCVjCsq6PCd1RxrhkOfuGMsw,2600000,2208864151,4125,0
UCXDG9ue-emCN8Ad3h7lERqQ,4910000,2502388329,44212,0
UCJUCcJUeh0Cz2xyKwkw5Q1w,15000000,2544628026,7185,0
UC8uE3-jzdXvyz_vwH8An6Rg,2220000,1755552380,9512,0
UCvO9Xk3bheuxEemvknCj72g,1700000,960941772,6688,0
UC72ZaBKI-Bo5fjmWEYonhJw,3100000,1620511743,14471,0
UC6AG81pAkf6Lbi_1VC5NmPA,3080000,4274758285,75214,0
UC2t9imwIR7xlDfma3CmRKJQ,5820000,1296495504,23113,0
UCknLrEdhRCp1aegoMqRaCZg,6040000,2921838921,42779,0
UCEPL07qzVsOcHd3sMUws65g,15400000,3104996958,4362,0
UC8ggH3zU61XO0nMskSQwZdA,1820000,1555659759,31520,0
UCTBQ0Drnk8jNRLCTJcqhx-w,3470,1560638,4932,1
UCmSjk6fP05aRC3L4v1r8pcg,20600,2133027,150,1
UCd5k_Ddt992tLGwYi3VgnZA,43800,9426353,1259,1
UCFb-kBFZMH5Ocf0rh22G12g,31500,3966736,464,1
UCuF_wNnVsaqGUWAh3IZQLeA,48300,205581533,172,1
UCAjwoL5iZ1Ge2bzFOJmacxQ,9740,669269,835,1
UCqmQKarU1VnIY4x1qZOdATw,121000,5373703,29,1
UCxZ3z_lxvOxExfROfiw3Yvg,53300,20934054,19,1
UCnR2phpd2XmFYghOdqy8FYw,155000,15122160,655,1
UC1KZthNKVq8I8feFK8Z1eIQ,211000,15919739,221,1
UCJfJWct8jN1RpCuVWk3zHTA,693000,54239591,104,1
UCgvyLh57axt4mrEHdRiY9vQ,3390,13142013,8269,1
UCsM--5bs5DdDVpALDPXUiiw,155000,14429038,387,1
UCF-UCdiOrwMucz5wg3bMlJQ,46900,1951587,16,1
UC12ZL54if5Q0q8D97y7aXXA,71100,23474527,55,1
UCQQJnyU8fALcOqqpyyIN4sg,256000,21935152,285,1
UCvmv7cw3BwJdOb4rEf2smFQ,30200,3520050,403,1
UCIfANh2BltdF-XixRwKFRqQ,10400,28005005,497,1
UCgNIXMatt_CuhzfOmSbBiSw,274000,39002901,272,1
UCWpTxzueSK9ThaYPUrtly7Q,48400,8906105,1262,1
UC7yjtdeaPLSdi1EiyDK2CQw,7,532,3,2
UCiKO7lh32gIpk080uL4YRUg,0,0,1,2
UC5CRuGCgXZ7PdHHY0Fn1N2g,0,0,0,2
UC2VhtkEFTmf4eF8WJzHGqhw,23,0,0,2
UCKscv5vTv8ZCqtifA4wutfA,19,887,27,2
UCaO5Ll347eCYI9ZaqIb5ycQ,0,0,0,2
UC2Rtpk4QC6420jVU_XXq1vw,79,2882,7,2
UCPuSnQ5rckIf8NqUNUuLT6Q,0,0,10,2
UCi8gT93jcUZRvQe1Nep2koA,3,71,3,2
UC-ReBuUn9ZTGVdFFm9jbGGg,0,18,5,2
UCIqN7A5RZIfLTIzFTwa_a2Q,0,0,0,2
UCPFXtLHO6vAvGWeTnrfuD9g,0,0,0,2
UC24RlTbcoRYZNH7gw-q7vEA,10,930,8,2
UCrgoNOlE-JEfAyfpRXMOIsA,15,260,8,2
UC95HUVFtqqXXLuwIo0AyRrQ,0,0,0,2
UCZyVcbnZAsZxflxBLOqozCQ,5450,0,13,2
UCAKbBJWqO2IZezhyDfLlRpA,24,390,3,2
UCSom5MF4FLlfTzBQhSx7TgQ,7,397,25,2
UCjutioIAnfjYTYUbSfhdIsQ,0,33,27,2
UCrAOS96Ii-81ZdpVluNVQCQ,20,2591,10,2
UCweS-OoFpCEo6MvdDDyWoPQ,1670,129174,8,3
UCb2-TNPDZVFAk2MGD_Q2Eag,770,70287,52,3
UCTOB9uUIGsYj8cv3IUOvccg,1330,85605,294,3
UChLdD-9TbYcEgUYHo60d9_A,881,130678,92,3
UCQWYIy68BJYqOOKnNwJIoaw,146,7280,15,3
UCXBTVzk9WhqUXelH9Jw_jdQ,3900,293493,183,3
UCU2LTDwLnH6RZPnVWD2hLqA,6780,445289,80,3
UCRx7F-EaR68V0qyZJTFT6_g,21,19931,45,3
UCRfXJGBDbLruN3kDcp2miYA,233,49326,39,3
UCXctMpuInFEvVpR7TG1cM-w,1040,56909,63,3
UCTEJjfVx8o2k2DABcBgYu7w,692,229406,141,3
UCj8pKAmbT0FbYsxgDYW9N2g,212,39538,164,3
UCTDidGYG-OachCWut-yF6ZA,2070,236990,29,3
UCtlEuZICprXV5SExWaD2INg,73900,3164,1,3
UCqDUck9hFStRGW0jR7BskDw,137,9060,74,3
UCDrpH8IWh8CKNZoBIsmeSAg,42,49921,142,3
UCDBIPWfr1nBSqhFea8lfwuA,59,4400,32,3
UCbKCLQZpGlPzd7YxgT3hEKA,132,67597,69,3
UConftcfQucylbUAgcmIH5JA,221,54624,44,3
UCdC0kFDYLoKjV0IjCnKZe4A,194,4384,9,3
UCNoiWmvkDUL0q-6ECxNFH0Q,7320000,707886994,502,4
UCtKSBH_lkYBMtTf4QS8YDAQ,1510000,307275563,111,4
UCvmTVIw2ZCJg49XHR0OoSAg,1370000,398389585,866,4
