date,channel_id,channel_subs,channel_total_views,channel_video_count,channel_cluster
2025-11-03,UCJfJWct8jN1RpCuVWk3zHTA,695000,54580089,105,0
2025-11-03,UC6KbJVFIL97N4N9sNd_HZxQ,137000,17777475,491,0
2025-11-03,UCECtTRy8ZqdD9XSt79Q7i3Q,74900,39495295,997,0
2025-11-03,UC8f2CDyLibpGYSN3O2LfDwg,2700000,165136638,929,0
2025-11-03,UCBriTgjiwqKKcfjOYuzO_bA,164000,17827973,217,0
2025-11-03,UCnoXQZ4krtA96huhCSQkMeg,649000,195043524,350,0
2025-11-03,UCGfUuxBzB8E30XjCjOvji2w,603000,1009543629,1688,0
2025-11-03,UCRzScB0a-dc6OCYYZlP9qpA,277000,68046439,1544,0
2025-11-03,UCN_BLhSa13GWTOZGglrnIZA,32900,14913363,621,0
2025-11-03,UCwVEhEzsjLym_u1he4XWFkg,3610000,1270129025,748,0
2025-11-03,UC-KNOeH9Cz2Ch3HMujlaTow,328000,176286135,4256,0
2025-11-03,UC7HAOdk0vxU7LBnw8OaPVTQ,82400,6491939,661,0
2025-11-03,UCAhDiBHb37Nyr5RlfUJjlOg,111000,9728746,572,0
2025-11-03,UCJl0tWpFjglusc0LC_JuB8A,1220000,255573918,516,0
2025-11-03,UCGOR7gZunIWOnKuX1cC0bEg,784000,589029624,1651,0
2025-11-03,UCjJE4Aj8YGun0wJ3S7W-RsA,351000,28070690,1212,0
2025-11-03,UCZIv78thfup6-JB5HxqT3Pg,591000,266913874,885,0
2025-11-03,UCJLFizUO3gCQnyiYKMYvUgg,1610000,639418626,773,0
2025-11-03,UCulsxDuZ0gU8lzhpPAjUwUg,889000,416553753,51,0
2025-11-03,UCAL3JXZSzSm8AlZyD3nQdBA,11000000,1192094835,96,0
2025-11-03,UC7YCCpoJ2NKfGHh-u1RzOKg,13,0,0,1
2025-11-03,UC_GxflydPlgA4W322NFL8GA,96,9278,38,1
2025-11-03,UCIb7yjPOgB6V2ivCjggAeGw,27,1928,6,1
2025-11-03,UCUOxOw2_LLQdaQsuADMTwSQ,50,3135,58,1
2025-11-03,UCMKiz_o3aL4VRRTaWssH9Eg,522,121200,18,1
2025-11-03,UCcuAyARdUJ-u9bNd4niRZPQ,1230,4595,11,1
2025-11-03,UConftcfQucylbUAgcmIH5JA,221,55481,46,1
2025-11-03,UCk_ZLT_b9ruhLRMD-MCoexw,5,210,15,1
2025-11-03,UCJ4cRs9MslAx0_9V5O1s6JQ,84,143337,33,1
2025-11-03,UCPY3uw5Rdo0WnN7yvaNiH5A,25,80358,196,1
2025-11-03,UCrYzLMK36U0kA_G6C-sOKyw,27,432,3,1
2025-11-03,UCeJTH9QPIETd60Ud1_amPAA,243,198,1,1
2025-11-03,UCZp0Oc40KKSQ0syVKrtqhBg,135,17442,31,1
2025-11-03,UC8ZTkgfsHyQZOhqdnLXOzFA,2390,297736,4,1
2025-11-03,UCsmGxMT4k6G8Q20Q9_seAIg,25,1372,9,1
2025-11-03,UCbKCLQZpGlPzd7YxgT3hEKA,145,72972,80,1
2025-11-03,UCrTiyHMJwQpFktB6lb2554A,1,70,18,1
2025-11-03,UCyDubmc7ZzmPeHIcHoS3QaA,48,10258,29,1
2025-11-03,UCXe0co3-1r--XrYZGrJ8xYA,5,511,2,1
2025-11-03,UCNzu4MMLtbFswWhLooraoaQ,208,27266,100,1
2025-11-03,UC8pB9jTfqiTKpYHQB408xVw,13200,1964761,388,2
2025-11-03,UCFnExFCkTIUsAg7HMkH2p9A,23300,2551458,1124,2
2025-11-03,UCokuz-roXUzi6bQ9YhzdQyg,48400,3569174,691,2
2025-11-03,UCF9WLuSbarWfL-a7v2I4aiw,4700,247676,240,2
2025-11-03,UCYuQQEhi03X5BNCU6S2rrog,3060,874873,110,2
2025-11-03,UCXK9Nv2Y7B_FQlJNca5yyqw,4590,422360,144,2
2025-11-03,UCSqiD4XuBNE1p_sbepo73iQ,3760,13424001,67,2
2025-11-03,UCx78sq8PDK_rn2fI2nJdm9A,1850,54145,80,2
2025-11-03,UCNCXZKOQDxWF1Y1gPBPPJAA,561,42629,153,2
2025-11-03,UCZQQmCXkMCLAPlyGrL5QWzA,13800,2929512,3,2
2025-11-03,UCCpXy4y4McbV9Aege_yPASg,39600,4776282,175,2
2025-11-03,UCPDJRvXZF30b_Qu_2sOMP2A,2680,541551,631,2
2025-11-03,UCB4hmXg3k8-KN9w8GCGX2ZA,9380,186152,37,2
2025-11-03,UC41-B_gUF1mHBa8x_slD7ag,3590,1059170,164,2
2025-11-03,UC0OxH9i-OSS8vNV_rrKcHyQ,20300,3114304,181,2
2025-11-03,UCUkA5rTSTnXoBUVaNVsG1XA,2040,2082117,238,2
2025-11-03,UCwsMNLjC6XQnXo_b_-kMy8Q,339,583843,6420,2
2025-11-03,UCNaV9nhVuyfS-D3XNIHj_GA,652,706231,14,2
2025-11-03,UCyDymklPNMrOXKc3BG1dtBQ,14100,1605968,149,2
2025-11-03,UCEd_Fj-_VlXG-BiXpJ69Wfg,28500,1054051,57,2
2025-11-03,UCEgdi0XIXXZ-qJOFPf4JSKw,74500000,0,0,3
2025-11-03,UCNmYRbnCsqYSO3vRKteKwHA,2270,0,0,3
2025-11-03,UCcE169gw8kJCzyCJZXb7DQw,1280000,0,0,3
2025-11-03,UC-9-kyTW8ZkZNDHQJ6FgpwQ,125000000,0,0,3
2025-11-03,UClHK1abUS7LLiAqrifwOw9w,105000,0,0,3
2025-11-03,UCOpNcN46UbXVtpKMrmU4Abg,92300000,0,0,3
2025-11-03,UCG1QXvv8CME3I6yts0IevTA,450000,354514194,11657,4
2025-11-03,UCi9ACGG8NptsQhaMyezITEw,341000,286363372,11617,4
2025-11-03,UCZDi95PJ6VmWtQAScA9Rh-w,459000,279662499,5787,4
2025-11-03,UCJ9hfZ2sU7jFT9isA2rN58Q,601000,233571741,4134,4
2025-11-03,UCeY0bbntWzzVIaj2z3QigXg,11600000,9119606071,84985,4
2025-11-03,UCV1wDrghZcIGo6CuMUSCu2w,834000,264552316,6483,4
2025-11-03,UCEPL07qzVsOcHd3sMUws65g,15400000,3110039753,4369,4
2025-11-03,UCBIT1FSJW6yTlzqK-31FDWg,18200000,13496628554,20203,4
2025-11-03,UCpdSUUHlxMjO0c5824FGcsA,1570000,667817282,20019,4
2025-11-03,UCJGanRdrtdqYlDPoBEM_C_A,4250000,2123310934,6009,4
2025-11-03,UCXuqSBlHAE6Xw-yeJA0Tunw,16500000,9036981426,6969,4
2025-11-03,UC_vt34wimdCzdkrzVejwX9g,20100000,11480854429,321545,4
2025-11-03,UCRmDJhK_ocN5jXBRIEAyNXg,591000,639996366,11529,4
2025-11-03,UCvO9Xk3bheuxEemvknCj72g,1700000,961162453,6699,4
2025-11-03,UCMPpVtxOI8RtfurfvCcxgyA,601000,180236883,4621,4
2025-11-03,UCET00YnetHT7tOpu12v8jxg,2640000,3151827918,11482,4
2025-11-03,UC8ggH3zU61XO0nMskSQwZdA,1830000,1571512474,31584,4
2025-11-03,UC8uE3-jzdXvyz_vwH8An6Rg,2230000,1766209209,9527,4
2025-11-03,UCoMdktPbSTixAyNGwb-UYkQ,8990000,5440993696,68288,4
2025-11-03,UCvlVuntLjdURVD3b3Hx7kxw,3000000,1283501421,3589,4
2025-12-02,UCJfJWct8jN1RpCuVWk3zHTA,695000,54580089,105,0
2025-12-02,UC6KbJVFIL97N4N9sNd_HZxQ,137000,17777475,491,0
2025-12-02,UCECtTRy8ZqdD9XSt79Q7i3Q,74900,39495295,997,0
2025-12-02,UC8f2CDyLibpGYSN3O2LfDwg,2700000,165136638,929,0
2025-12-02,UCBriTgjiwqKKcfjOYuzO_bA,164000,17827973,217,0
2025-12-02,UCnoXQZ4krtA96huhCSQkMeg,649000,195043524,350,0
2025-12-02,UCGfUuxBzB8E30XjCjOvji2w,603000,1009543629,1688,0
2025-12-02,UCRzScB0a-dc6OCYYZlP9qpA,277000,68046439,1544,0
2025-12-02,UCN_BLhSa13GWTOZGglrnIZA,32900,14913363,621,0
2025-12-02,UCwVEhEzsjLym_u1he4XWFkg,3610000,1270129025,748,0
2025-12-02,UC-KNOeH9Cz2Ch3HMujlaTow,328000,176286135,4256,0
2025-12-02,UC7HAOdk0vxU7LBnw8OaPVTQ,82400,6491939,661,0
2025-12-02,UCAhDiBHb37Nyr5RlfUJjlOg,111000,9728746,572,0
2025-12-02,UCJl0tWpFjglusc0LC_JuB8A,1220000,255573918,516,0
2025-12-02,UCGOR7gZunIWOnKuX1cC0bEg,784000,589029624,1651,0
2025-12-02,UCjJE4Aj8YGun0wJ3S7W-RsA,351000,28070690,1212,0
2025-12-02,UCZIv78thfup6-JB5HxqT3Pg,591000,266913874,885,0
2025-12-02,UCJLFizUO3gCQnyiYKMYvUgg,1610000,639418626,773,0
2025-12-02,UCulsxDuZ0gU8lzhpPAjUwUg,889000,416553753,51,0
2025-12-02,UCAL3JXZSzSm8AlZyD3nQdBA,11000000,1192094835,96,0
2025-12-02,UC7YCCpoJ2NKfGHh-u1RzOKg,13,0,0,1
2025-12-02,UC_GxflydPlgA4W322NFL8GA,96,9278,38,1
2025-12-02,UCIb7yjPOgB6V2ivCjggAeGw,27,1928,6,1
2025-12-02,UCUOxOw2_LLQdaQsuADMTwSQ,50,3135,58,1
